,date,location
0,1999.07,"台北
   台北国际会议中心
   1场"
1,1999.07,"马来西亚
   1场"
2,2000.07,"台北
   台北中和运动场
   1场"
3,2001.11,"台南
   台南市政府西侧广场
   1场"
4,2002.02.02,香港
5,2002.07.13,马来西亚
6,2003.10.11,台北
7,2004.06.25,"上海
   上海八万人体育场"
8,2004.08.21,北京
9,2005.07.01,马来西亚云顶
10,2005.07.02,马来西亚云顶
11,2005.12.25,美国拉斯维加斯
12,2006.03.11,台北
13,2006.03.12,台北
14,2006.04.18,日本名古屋
15,2006.04.19,日本大阪
16,2006.04.21,日本东京
17,2006.08.12,上海
18,2006.08.25,香港
19,2006.08.26,香港
20,2006.10.21,新加坡
21,2007.02.25,美国康州
22,2007.03.04,马来西亚
23,2007.10.06,南京
24,2007.12.22,美国拉斯维加斯
25,2007.12.23,美国旧金山
26,2008.01.11,印度尼西亚雅加达
27,2008.09.19,"台北
   台北小巨蛋体育场"
28,2008.09.20,"台北
   台北小巨蛋体育场"
29,2008.10.18,"上海
   上海八万人体育场"
30,2008.11.01,新加坡
31,2009.01.10,澳门
32,2009.01.24,美国拉斯维加斯
33,2009.05.02,"马来西亚
   国家户外体育场"
34,2009.08.22,"北京
   北京工人体育场"
35,2009.09.05,"西安
   西安可口可乐体育场"
36,2009.10.02,"洛阳
   洛阳新区体育场"
37,2009.11.07,"武汉
   武汉新华路体育场"
38,2010.02.07,"泉州
   泉州市海峡体育中心体育场"
39,2010.09.04,"重庆
   重庆奥林匹克体育中心"
40,2010.09.08,"沈阳
   沈阳奥林匹克体育中心"
41,2010.09.15,"常熟
   常熟体育中心体育场"
42,2010.09.17,"南京
   南京奥体中心体育场"
43,2010.09.19,"天津
   天津市奥林匹克体育中心"
44,2010.09.22,"成都
   成都体育中心"
45,2011.04.17,"常州
   常州奥利匹克体育中心"
46,2011.05.18,"杭州
   黄龙体育中心"
47,2011.05.15,"合肥
   合肥奥体中心"
48,2011.05.21,"广州
   广州天河体育中心"
49,2011.06.10,"济南
   济南奥林匹克体育中心西柳体育场"
50,2011.11.05,"上海
   上海八万人体育场
   1"
51,2011.11.25-26,"台北
   台北小巨蛋体育馆
   2[133]"
52,2012.01.07,"温州
   温州体育中心体育场
   1"
53,2012.03.03,"马来西亚
   1"
54,2012.04.14,"北京
   国家体育场（鸟巢）
   1"
55,2012.05.11,"武汉
   武汉体育中心体育场
   1"
56,2012.05.19,"南通
   南通体育会展中心体育场
   1"
57,2012.05.26,"深圳
   深圳湾体育场
   1"
58,2012.06.02,"成都
   保利198公园亚洲青年歌场
   1"
59,2012.06.09,"天津
   天津奥体中心体育场
   1"
60,2012.06.17,"西安
   陕西省体育场
   1"
61,2012.07.08,"南宁
   五象新区广西区体育中心
   1"
62,2012.07.29,"嘉兴
   嘉兴市体育场
   1"
63,2012.08.11,"哈尔滨
   哈尔滨会展中心体育场
   1"
64,2012.08.18,"新加坡
   1"
65,2012.08.31,"长沙
   长沙贺龙体育中心体育场
   1"
66,2012.09.14-16,"香港
   香港红磡体育馆
   3"
67,2012.09.23,"合肥
   合肥体育中心体育场
   1"
68,2012.10.07,"福州
   福建省体育中心体育场
   1"
69,2012.11.18,"贵阳
   贵阳奥林匹克体育中心
   1"
70,2012.11.25,"廊坊
   廊坊市体育馆
   1[134]"
71,2012.12.01,"重庆
   重庆奥体中心
   1"
72,2012.12.07,"泉州
   泉州海峡体育中心体育场
   1"
73,2013.03.29/30,"马来西亚
   马来西亚旅游胜地云顶高原
   1"
74,2013.04.06,"悉尼
   悉尼娱乐中心
   1"
75,2013.04.09,"墨尔本
   1"
76,2013.04.17,"伦敦
   伦敦O2体育馆
   1[135]"
77,2013.04.30,"上海
   上海体育场
   1"
78,2013.05.18,"杭州
   黄龙体育中心体育场
   1"
79,2013.05.25,"南京
   南京奥体中心体育场
   1"
80,2013.09.20,"乌鲁木齐
   二宫体育馆
   1"
81,2013.09.28,"郑州
   河南省体育中心
   1"
82,2013.10.05,"太原
   山西省体育中心红灯笼体育场
   1"
83,2013.10.12,"广州
   广州天河体育场
   1[136]"
84,2013.10.22,"义乌
   义乌梅湖体育中心体育场 
   1"
85,2013.12.07,"南宁
   南宁公园路体育场
   1"
86,2013.12.14,"温州
   温州体育中心体育场
   1"
87,2013.12.24,"济南
   济南奥体中心体育馆
   1[137]"
88,2014.03.29,"深圳
   华润深圳湾体育中心""春茧""体育场
   1"
89,2014.04.12,"六盘水
   六盘水凉都体育中心
   1"
90,2014.04.19,"南昌
   南昌国际体育中心
   1"
91,2014.05.02,"石家庄
   石家庄裕彤国际体育中心
   1"
92,2014.05.10,"成都
   成都体育中心体育场
   1"
93,2014.05.18,"西安
   陕西上实城开体育场
   1"
94,2014.06.08,"长春
   长春经济技术开发区体育场
   1"
95,2014.06.14,"北京
   国家体育场（鸟巢）
   1[138]"
96,2018.04.13-14,"北京[139] 
   凯迪拉克中心
   2"
97,2018.05.05,"东莞[140] 
   东风日产文体中心
   1"
98,2018.05.19-20,"南京[141] 
   南京奥体中心体育馆
   2"
99,2018.06.01-02,"上海[142] 
   梅赛德斯奔驰文化中心
   2"
100,2018.06.17,"成都
   双流体育中心
   1"
101,2018.06.30,"深圳
   深圳湾体育中心
   1"
102,2018.07.07,"济南
   济南奥体中心体育场
   1"
103,2018.07.21,"合肥
   合肥体育中心体育场
   1"
104,2018.07.28,"杭州
   杭州黄龙体育中心
   1"
